id,title,all_authors,author_gender,category,format,style,wc,inquote,nframe,NN_QI,NN_NF,VB_QI,VB_NF,JJ_QI,JJ_NF,RG_QI,RG_NF,RO_QI,RO_NF,PP_QI,PP_NF,VERB_QI,VERB_NF,AUX_QI,AUX_NF,ADV_QI,ADV_NF,PROPN_QI,PROPN_NF,CCONJ_QI,CCONJ_NF,SCONJ_QI,SCONJ_NF,INTJ_QI,INTJ_NF,p1_QI,p1_NF,p2_QI,p2_NF,p3_QI,p3_NF,neg_QI,neg_NF,VBPRT_QI,VBPRT_NF,VBPRS_QI,VBPRS_NF,VBSUP_QI,VBSUP_NF,VBIMP_QI,VBIMP_NF,VBINF_QI,VBINF_NF,VBSFO_QI,VBSFO_NF,NNIND_QI,NNIND_NF,NNDEF_QI,NNDEF_NF,NNSIN_QI,NNSIN_NF,NNPLU_QI,NNPLU_NF,JJSUV_QI,JJSUV_NF,JJKOM_QI,JJKOM_NF
SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,Jenny Colgan,F,OTHER,bestseller,quot,88476,30853,51728,79636,131457,200272,191308,38797,54903,1977,2088,486,367,46932,90821,137037,144409,63624,47150,92309,96447,18345,42530,43497,46281,35880,27432,36204,1063,48909,1257,30046,561,18572,61514,18572,11251,160544,697656,439230,27486,44344,89531,155203,3335,200194,181993,16508,40420,696378,579118,291819,415000,789988,776176,198209,217941,47619,39789,30911,39437
SvB_BS_261,Lazarus,Lars Kepler,2,CRIME,bestseller,dash,147815,35859,111841,102959,205461,234307,186649,34329,48059,3821,3997,1004,832,57224,112553,164450,155310,70192,31536,78279,66979,18768,24240,40659,48533,47464,24463,7000,143,54212,429,33464,143,28975,58610,18378,5392,166389,113533,439895,700359,61176,57820,170555,1198,160914,126659,26541,41341,669827,454023,325027,540102,811484,808347,183369,185822,40617,24000,34119,31070
SvB_BS_263,Bränn alla mina brev,Alex Schulman,M,OTHER,bestseller,quot,59000,8060,35038,91439,155003,194665,176894,33747,42069,2357,6450,620,856,52109,102432,140199,136880,54591,40556,83623,78515,19231,23803,47767,37845,32506,25686,24566,285,58065,35704,28536,3767,18486,63360,18238,9590,179732,165053,471638,624234,46526,60665,127470,3872,174634,144724,35692,44046,677069,594366,313433,402504,810041,786780,180461,210274,33088,42062,47794,35957
SvB_BS_264,De som dödar drömmar sover aldrig,Jan Guillou,M,OTHER,bestseller,quot,142108,24653,96318,126475,180143,173204,148228,43321,64972,5395,6292,1298,1277,70377,109948,119215,103252,54111,45215,99988,95558,34073,44270,41577,39691,28597,27440,17929,934,36953,1339,22188,301,16022,34012,12818,9292,152693,628774,458548,30048,56206,116061,126932,2451,203279,219584,37002,65280,663887,606247,327133,388393,810776,790099,181206,204772,34644,43944,44007,46660
SvB_BS_265,En andra chans,Jojo Moyes,F,OTHER,bestseller,quot,164164,45323,84372,88388,140924,198773,185583,39825,45453,3243,4611,530,913,54630,102119,133861,143744,65177,42182,86512,81508,27469,25376,40642,44055,34861,33613,17276,1221,52711,70853,33515,4611,23167,37868,14474,9909,174825,647337,438117,80023,44178,75808,131091,6259,210234,189105,21867,33146,736645,614971,254119,380992,795557,765013,195457,231034,32133,30508,27147,41199
SvB_BS_266,Ett mörker mitt ibland oss,Mari Jungstedt,F,CRIME,bestseller,dash,81766,25236,56530,114440,160127,214376,185636,36377,48293,3012,3060,991,601,70257,101539,146933,141429,67958,44490,103305,89262,27263,36352,37169,44560,29719,22749,11571,478,39071,389,21239,106,25004,66425,13275,7518,187246,729750,421627,14580,90758,100438,149168,3716,150832,151229,51756,51934,621884,518118,372922,479010,783241,794631,211565,202607,35948,41026,26144,37363
SvB_BS_267,I fel sällskap,Viveca Sten,F,CRIME,bestseller,quot,124798,38148,86244,96414,157518,209500,202971,32977,45870,1651,3142,367,696,59977,96644,145355,150213,64695,53105,92194,82336,18848,40200,42492,31330,41103,27283,7943,197,42728,383,31771,209,34812,64770,18061,12001,175676,677749,438689,15538,59685,110768,114865,2456,210335,193031,28654,40274,682164,490762,309951,507251,819467,822451,172104,175561,39746,54348,54849,55865
SvB_BS_268,Syndabocken,Sofie Sarenbrant,F,CRIME,bestseller,quot,89389,21961,61949,96626,136612,201357,205572,32102,41647,3096,2680,820,678,59014,84618,142070,151512,59606,54626,90797,84602,25727,34335,43942,37692,32694,28798,22085,985,43441,6941,27002,694,22449,70994,14936,16627,219132,130114,386024,604397,61963,58814,162822,7146,169154,198194,25780,34158,643261,495805,345429,502068,833176,838946,156456,158809,48227,39922,51064,48062
SvB_BS_269,En högre rättvisa,"Hans Rosenfeldt, Michael Hjorth",M,CRIME,bestseller,quot,136507,32367,99904,81503,127082,199740,191764,28208,44042,5160,4334,525,1151,54438,94481,141904,142016,58115,50058,87373,88815,28270,37186,43841,35394,35345,33242,16591,591,46035,1632,29691,841,30463,74722,19372,13743,194896,622247,417788,25838,65893,128354,152514,11118,168755,211818,23357,37530,716452,571834,271797,422653,780516,812461,208112,182183,41621,50909,47097,62955
SvB_BS_270,De vänsterhäntas förening,Håkan Nesser,M,CRIME,bestseller,quot,155971,52474,96361,108492,154118,189904,168626,33140,46056,6651,11031,819,1225,59458,90431,138983,121751,51225,47177,99840,86031,22068,43918,43507,45859,30548,25716,20677,1961,39200,14280,17094,1038,20734,39321,14445,11229,201104,610376,400803,92313,62920,121669,173006,8370,160161,166164,32213,49049,674161,635513,315124,356946,824873,806208,164588,186317,33928,46192,44853,48896
